"DisplayName","PrimarySmtpAddress","Identity","GroupType","ExternalSenders","Action"
"DG Binary System Admin","admin@mbubinarysystems.onmicrosoft.com","DG Binary System Admin","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Admin","admin@binarysystem.eu","admin","MailUniversalDistributionGroup","Allowed (was Blocked)","Fixed"
"DG Binary System Agenda","agenda@mbubinarysystems.onmicrosoft.com","DG Binary System Agenda","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Agenda","agenda@binarysystem.eu","agenda","MailUniversalDistributionGroup","Blocked","FAILED: ||The operation couldn't be performed because object: 'agenda' matches multiple entries."
"DG Binary System Alert","alert@mbubinarysystems.onmicrosoft.com","DG Binary System Alert","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Alert","alert@binarysystem.eu","alert","MailUniversalDistributionGroup","Allowed (was Blocked)","Fixed"
"DG Binary System Amministrazione","amministrazione@mbubinarysystems.onmicrosoft.com","DG Binary System Amministrazione","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Amministrazione","amministrazione@binarysystem.eu","amministrazione","MailUniversalDistributionGroup","Blocked","FAILED: ||The operation couldn't be performed because object: 'amministrazione' matches multiple entries."
"DG Binary System Apple","apple@mbubinarysystems.onmicrosoft.com","DG Binary System Apple","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Apple","apple@binarysystem.eu","apple","MailUniversalDistributionGroup","Allowed (was Blocked)","Fixed"
"DG Binary System Available-Developers","available-developers@mbubinarysystems.onmicrosoft.com","DG Binary System Available-Developers","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Available-Developers","available-developers@binarysystem.eu","available-developers","MailUniversalDistributionGroup","Blocked","FAILED: ||The operation couldn't be performed because object: 'available-developers' matches multiple entries."
"DG Binary System Bug Sense","bugsense@mbubinarysystems.onmicrosoft.com","DG Binary System Bug Sense","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Bug Sense","bugsense@binarysystem.eu","bugsense","MailUniversalDistributionGroup","Blocked","FAILED: ||The operation couldn't be performed because object: 'bugsense' matches multiple entries."
"DG Binary System Delivery","delivery@mbubinarysystems.onmicrosoft.com","DG Binary System Delivery","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Delivery","delivery@binarysystem.eu","delivery","MailUniversalDistributionGroup","Allowed (was Blocked)","Fixed"
"DG Binary System Deploy","deploy@mbubinarysystems.onmicrosoft.com","DG Binary System Deploy","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Deploy","deploy@binarysystem.eu","deploy","MailUniversalDistributionGroup","Blocked","FAILED: ||The operation couldn't be performed because object: 'deploy' matches multiple entries."
"DG Binary System Developers","developers@mbubinarysystems.onmicrosoft.com","DG Binary System Developers","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Developers","developers@binarysystem.eu","developers","MailUniversalDistributionGroup","Allowed (was Blocked)","Fixed"
"DG Binary System Developers-EXT","developers-ext@mbubinarysystems.onmicrosoft.com","DG Binary System Developers-EXT","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Developers-EXT","developers-ext@binarysystem.eu","developers-ext","MailUniversalDistributionGroup","Blocked","FAILED: ||The operation couldn't be performed because object: 'developers-ext' matches multiple entries."
"DG Binary System DG Binary System Cybersecurity","cybersecurity@mbubinarysystems.onmicrosoft.com","8cb4093d-b22e-4702-b706-6237bfbc217f","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System DG Binary System Cybersecurity","cybersecurity@binarysystem.eu","cybersecurity","MailUniversalDistributionGroup","Allowed (was Blocked)","Fixed"
"DG Binary System DG Binary System Managers","managers@mbubinarysystems.onmicrosoft.com","a4f071af-2633-41b5-bfd1-fb8c48e47241","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System DG Binary System Managers","managers@binarysystem.eu","managers","MailUniversalDistributionGroup","Allowed (was Blocked)","Fixed"
"DG Binary System DG Binary System Offer Request","offers@mbubinarysystems.onmicrosoft.com","6e7cc59e-ffb6-46d5-b06e-a7fd22b97fd9","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System DG Binary System Offer Request","offers@binarysystem.eu","offers","MailUniversalDistributionGroup","Allowed (was Blocked)","Fixed"
"DG Binary System DG Binary System Whistleblowing","whistleblowing@mbubinarysystems.onmicrosoft.com","3e9d44b7-bd25-4d41-9fd4-270c66d236d9","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System DG Binary System Whistleblowing","whistleblowing@binarysystem.eu","whistleblowing","MailUniversalDistributionGroup","Allowed (was Blocked)","Fixed"
"DG Binary System Enterprise","enterprise@mbubinarysystems.onmicrosoft.com","DG Binary System Enterprise","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Enterprise","enterprise@binarysystem.eu","enterprise","MailUniversalDistributionGroup","Blocked","FAILED: ||The operation couldn't be performed because object: 'enterprise' matches multiple entries."
"DG Binary System Ext Developers","extdevelopers@mbubinarysystems.onmicrosoft.com","DG Binary System Ext Developers","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Ext Developers","extdevelopers@binarysystem.eu","extdevelopers","MailUniversalDistributionGroup","Allowed (was Blocked)","Fixed"
"DG Binary System French Department","french.department@mbubinarysystems.onmicrosoft.com","bdf9ee92-69e4-449c-ade3-b729a1784d5d","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System French Department","french.department@binarysystem.eu","french.department","MailUniversalDistributionGroup","Blocked","FAILED: ||The operation couldn't be performed because object: 'french.department' matches multiple entries."
"DG Binary System Info","info@mbubinarysystems.onmicrosoft.com","DG Binary System Info","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Info","info@binarysystem.eu","info","MailUniversalDistributionGroup","Allowed (was Blocked)","Fixed"
"DG Binary System IT Workday Notifications","binarysystem.itworkdaynotifications@mbubinarysystems.onmicrosoft.com","DG Binary System IT Workday Notifications","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System IT Workday Notifications","binarysystem.itworkdaynotifications@binarysystem.eu","binarysystem.itworkdaynotifications","MailUniversalDistributionGroup","Allowed (was Blocked)","Fixed"
"DG Binary System Logishift","logishift@mbubinarysystems.onmicrosoft.com","DG Binary System Logishift","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Logishift","logishift@binarysystem.eu","logishift","MailUniversalDistributionGroup","Blocked","FAILED: ||The operation couldn't be performed because object: 'logishift' matches multiple entries."
"DG Binary System Logishift Eng","logishifteng@mbubinarysystems.onmicrosoft.com","DG Binary System Logishift Eng","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Logishift Eng","logishifteng@binarysystem.eu","logishifteng","MailUniversalDistributionGroup","Blocked","FAILED: ||The operation couldn't be performed because object: 'logishifteng' matches multiple entries."
"DG Binary System Logishift Team","logishift.team@mbubinarysystems.onmicrosoft.com","4606f180-9aab-4ed9-a6c2-bdffd0649917","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Logishift Team","logishift.team@binarysystem.eu","logishift.team","MailUniversalDistributionGroup","Blocked","FAILED: ||The operation couldn't be performed because object: 'logishift.team' matches multiple entries."
"DG Binary System Maintrack","maintrack@mbubinarysystems.onmicrosoft.com","DG Binary System Maintrack","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Maintrack","maintrack@binarysystem.eu","maintrack","MailUniversalDistributionGroup","Blocked","FAILED: ||The operation couldn't be performed because object: 'maintrack' matches multiple entries."
"DG Binary System Maintrack Eng","maintrackeng@mbubinarysystems.onmicrosoft.com","DG Binary System Maintrack Eng","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Maintrack Eng","maintrackeng@binarysystem.eu","maintrackeng","MailUniversalDistributionGroup","Blocked","FAILED: ||The operation couldn't be performed because object: 'maintrackeng' matches multiple entries."
"DG Binary System Maintrack-Developers","maintrack-developers@mbubinarysystems.onmicrosoft.com","DG Binary System Maintrack-Developers","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Maintrack-Developers","maintrack-developers@binarysystem.eu","maintrack-developers","MailUniversalDistributionGroup","Blocked","FAILED: ||The operation couldn't be performed because object: 'maintrack-developers' matches multiple entries."
"DG Binary System Marketing","marketing@mbubinarysystems.onmicrosoft.com","DG Binary System Marketing","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Marketing","marketing@binarysystem.eu","marketing","MailUniversalDistributionGroup","Allowed (was Blocked)","Fixed"
"DG Binary System ODV","odv@mbubinarysystems.onmicrosoft.com","4f728267-5fab-4258-9907-dc6faee316c3","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System ODV","odv@binarysystem.eu","odv","MailUniversalDistributionGroup","Allowed (was Blocked)","Fixed"
"DG Binary System Ordini","ordini@mbubinarysystems.onmicrosoft.com","DG Binary System Ordini","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Ordini","ordini@binarysystem.eu","ordini","MailUniversalDistributionGroup","Blocked","FAILED: ||The operation couldn't be performed because object: 'ordini' matches multiple entries."
"DG Binary System Owners","owners@mbubinarysystems.onmicrosoft.com","DG Binary System Owners","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Owners","owners@binarysystem.eu","owners","MailUniversalDistributionGroup","Blocked","FAILED: ||The operation couldn't be performed because object: 'owners' matches multiple entries."
"DG Binary System Planning Leanbit","planning.leanbit@mbubinarysystems.onmicrosoft.com","1565bc04-8e07-4deb-b7ee-a63300fa5c1e","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Planning Leanbit","planning.leanbit@binarysystem.eu","planning.leanbit","MailUniversalDistributionGroup","Allowed (was Blocked)","Fixed"
"DG Binary System Planning Tualba","planning.tualba@mbubinarysystems.onmicrosoft.com","bdc67e75-7928-4f11-81c9-a5ced5f54a0d","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Planning Tualba","planning.tualba@binarysystem.eu","planning.tualba","MailUniversalDistributionGroup","Allowed (was Blocked)","Fixed"
"DG Binary System Rail Mobile","railmobile@mbubinarysystems.onmicrosoft.com","DG Binary System Rail Mobile","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Rail Mobile","railmobile@binarysystem.eu","railmobile","MailUniversalDistributionGroup","Blocked","FAILED: ||The operation couldn't be performed because object: 'railmobile' matches multiple entries."
"DG Binary System Riservata","riservata@mbubinarysystems.onmicrosoft.com","DG Binary System Riservata","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Riservata","riservata@binarysystem.eu","riservata","MailUniversalDistributionGroup","Blocked","FAILED: ||The operation couldn't be performed because object: 'riservata' matches multiple entries."
"DG Binary System Risorse","risorse@mbubinarysystems.onmicrosoft.com","DG Binary System Risorse","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Risorse","risorse@binarysystem.eu","risorse","MailUniversalDistributionGroup","Blocked","FAILED: ||The operation couldn't be performed because object: 'risorse' matches multiple entries."
"DG Binary System Sales","sales@mbubinarysystems.onmicrosoft.com","3935e6ba-666f-48d8-812c-354556d96f5a","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Sales","sales@binarysystem.eu","sales","MailUniversalDistributionGroup","Allowed (was Blocked)","Fixed"
"DG Binary System Skill Plan Eng","skillplaneng@mbubinarysystems.onmicrosoft.com","DG Binary System Skill Plan Eng","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System Skill Plan Eng","skillplaneng@binarysystem.eu","skillplaneng","MailUniversalDistributionGroup","Blocked","FAILED: ||The operation couldn't be performed because object: 'skillplaneng' matches multiple entries."
"DG Binary System SNCF-AWS","sncf-aws@mbubinarysystems.onmicrosoft.com","DG Binary System SNCF-AWS","MailUniversalDistributionGroup","Allowed","None"
"DG Binary System SNCF-AWS","sncf-aws@binarysystem.eu","sncf-aws","MailUniversalDistributionGroup","Blocked","FAILED: ||The operation couldn't be performed because object: 'sncf-aws' matches multiple entries."
